B	19007702	1	Invincible Trailblazers	Seethamraju Pavan	34	33	1	0	103.03	0	460319
B	19007702	2	Downtown Hunterz	Faisal Yafai	19	9	2	1	211.11	1	10200084
B	19007702	1	Invincible Trailblazers	Abhishek Chennamaneni	19	18	1	1	105.56	1	2982610
W	19007702	2	Invincible Trailblazers	Yogeesha Naik	3.0	10	2	3.33	12	1	21500136
W	19007702	1	Downtown Hunterz	Faisal Khan	3.0	10	2	3.33	12	0	31875312
W	19007702	1	Downtown Hunterz	Mir Mujahed Ali	3.0	14	2	4.67	10	0	16147525
B	19007704	1	Maratha Warriors - GTCC	Vineesh  M	43	18	0	6	238.89	1	27672383
B	19007704	1	Maratha Warriors - GTCC	Jinto Eliyas	26	27	1	2	96.30	1	21834838
B	19007704	2	Harmony Strikers	Deep Patel	20	10	1	2	200.00	1	29734345
W	19007704	2	Maratha Warriors - GTCC	Rajeev Swaminathan	3.0	15	4	5.00	10	0	23116627
W	19007704	1	Harmony Strikers	Deep Patel	3.0	17	3	5.67	10	0	29734345
W	19007704	2	Maratha Warriors - GTCC	Tanishq B	3.0	18	2	6.00	10	0	23168646
B	19007705	2	Harmony Strikers	Rajeshwar Bose	38	30	3	1	126.67	1	9928620
B	19007705	1	Thunder Strikers	Ravikumar Kantaria	24	23	2	1	104.35	1	27672729
B	19007705	2	Harmony Strikers	Dirgh Raval	23	13	2	2	176.92	0	31266663
W	19007705	1	Harmony Strikers	Bishal Chakraborty	3.0	18	3	6.00	10	0	31271439
W	19007705	2	Thunder Strikers	Jigneshkumar Patel	3.0	18	3	6.00	8	0	30176575
W	19007705	1	Harmony Strikers	Nisarg Cricket Oshawa	2.0	9	2	4.50	6	0	32800410
B	19007707	1	Downtown Hunterz	Faisal Yafai	29	15	1	3	193.33	0	10200084
B	19007707	2	North Stars T15 Fall League 2025	Raghavendra Naik	25	15	1	2	166.67	1	15832543
B	19007707	1	Downtown Hunterz	Irfan Mohammed	19	17	1	1	111.76	1	15608701
W	19007707	2	Downtown Hunterz	Sami Mohammed	3.0	15	3	5.00	10	0	42529904
W	19007707	1	North Stars T15 Fall League 2025	Srikanth Lahoti	2.0	14	3	7.00	6	0	4155955
W	19007707	1	North Stars T15 Fall League 2025	Akshay H S	3.0	24	3	8.00	9	0	31955580
B	19007706	1	Friends United - Fall T15	Navdeep Singh	30	30	2	0	100.00	1	39095211
B	19007706	1	Friends United - Fall T15	Karan Bajwa	25	11	1	3	227.27	0	6249085
B	19007706	1	Friends United - Fall T15	Saurav	23	17	3	0	135.29	1	38188893
W	19007706	2	Friends United - Fall T15	Karan Bajwa	3.0	9	2	3.00	11	0	6249085
W	19007706	2	Friends United - Fall T15	Ashu Sharma	3.0	9	2	3.00	10	0	6562419
W	19007706	2	Friends United - Fall T15	Navdeep Singh	3.0	17	2	5.67	7	0	39095211
B	19007711	1	Maple Eagles	Satwinder Singh	52	25	1	6	208.00	0	42515588
B	19007711	2	DSK Friends XI	Japan Babu	42	28	2	3	150.00	0	39090306
B	19007711	2	DSK Friends XI	Justus Charles	20	16	1	2	125.00	1	16786226
W	19007711	1	DSK Friends XI	Sukant Sharma	3.0	23	2	7.67	10	0	39090207
W	19007711	1	DSK Friends XI	Samil Vig	3.0	29	2	9.67	7	0	31956279
W	19007711	1	DSK Friends XI	Luxminarayanan Venkatapathy	3.0	11	1	3.67	9	0	19801237
